iter	Passed	Remaining
0	155	155443
1	157	78745
2	160	53319
3	162	40480
4	164	32754
5	166	27599
6	168	23843
7	169	21039
8	171	18885
9	173	17133
10	174	15719
11	176	14553
12	178	13570
13	180	12706
14	182	11963
15	183	11307
16	185	10733
17	187	10224
18	189	9768
19	191	9361
20	193	9017
21	195	8691
22	197	8409
23	199	8097
24	200	7812
25	202	7577
26	204	7356
27	205	7150
28	207	6957
29	209	6779
30	211	6601
31	212	6436
32	213	6262
33	215	6113
34	216	5969
35	218	5837
36	220	5732
37	221	5616
38	223	5517
39	225	5413
40	226	5309
41	228	5208
42	229	5109
43	230	5014
44	232	4933
45	234	4857
46	236	4785
47	237	4716
48	239	4655
49	241	4593
50	243	4528
51	245	4469
52	247	4413
53	248	4357
54	250	4303
55	252	4254
56	254	4202
57	255	4148
58	256	4095
59	258	4051
60	260	4012
61	262	3970
62	264	3938
63	265	3889
64	267	3847
65	269	3809
66	270	3761
67	271	3715
68	272	3682
69	274	3649
70	276	3618
71	278	3585
72	279	3554
73	281	3526
74	283	3499
75	285	3465
76	286	3439
77	288	3414
78	290	3390
79	292	3365
80	294	3341
81	296	3319
82	298	3299
83	300	3276
84	301	3248
85	303	3227
86	304	3200
87	306	3179
88	308	3159
89	310	3139
90	312	3120
91	314	3105
92	316	3088
93	318	3072
94	321	3059
95	323	3044
96	324	3025
97	326	3006
98	328	2989
99	330	2972
100	331	2949
101	332	2926
102	334	2910
103	335	2894
104	337	2878
105	339	2862
106	341	2850
107	343	2835
108	344	2819
109	346	2801
110	348	2790
111	350	2776
112	351	2762
113	353	2744
114	354	2730
115	356	2714
116	357	2701
117	359	2687
118	360	2671
119	362	2661
120	365	2653
121	367	2645
122	368	2629
123	370	2617
124	372	2604
125	373	2591
126	375	2582
127	377	2568
128	378	2557
129	379	2540
130	381	2529
131	383	2522
132	385	2515
133	387	2502
134	388	2490
135	390	2480
136	392	2470
137	393	2459
138	394	2445
139	396	2433
140	397	2423
141	399	2413
142	400	2401
143	402	2392
144	404	2384
145	405	2373
146	407	2362
147	408	2352
148	410	2343
149	412	2334
150	413	2325
151	414	2314
152	415	2302
153	417	2290
154	418	2279
155	419	2268
156	420	2256
157	421	2244
158	422	2233
159	423	2222
160	424	2211
161	425	2200
162	426	2191
163	427	2180
164	429	2174
165	431	2167
166	432	2157
167	433	2147
168	435	2140
169	437	2135
170	439	2130
171	441	2124
172	443	2118
173	444	2111
174	446	2105
175	447	2097
176	449	2088
177	450	2080
178	452	2074
179	454	2068
180	454	2058
181	455	2049
182	457	2040
183	458	2033
184	460	2027
185	461	2019
186	463	2014
187	464	2007
188	466	2001
189	468	1996
190	469	1989
191	471	1984
192	473	1978
193	474	1970
194	475	1964
195	477	1958
196	479	1953
197	481	1948
198	482	1944
199	484	1939
200	486	1934
201	488	1930
202	489	1923
203	491	1916
204	492	1909
205	493	1902
206	496	1903
207	499	1900
208	500	1895
209	502	1891
210	504	1885
211	505	1878
212	507	1873
213	508	1866
214	509	1860
215	511	1856
216	513	1852
217	514	1845
218	516	1841
219	518	1838
220	519	1831
221	520	1825
222	522	1821
223	523	1814
224	524	1806
225	526	1802
226	527	1796
227	529	1792
228	531	1787
229	532	1784
230	533	1777
231	535	1771
232	536	1765
233	537	1760
234	539	1755
235	541	1751
236	543	1748
237	544	1744
238	546	1740
239	547	1734
240	549	1729
241	550	1724
242	552	1721
243	554	1717
244	556	1713
245	557	1709
246	559	1705
247	561	1702
248	562	1697
249	563	1690
250	565	1687
251	567	1683
252	569	1680
253	570	1676
254	572	1672
255	574	1669
256	576	1667
257	577	1661
258	578	1655
259	579	1650
260	581	1646
261	583	1642
262	585	1639
263	586	1636
264	588	1632
265	590	1628
266	591	1624
267	592	1619
268	594	1615
269	596	1613
270	597	1608
271	599	1605
272	601	1602
273	603	1599
274	605	1596
275	606	1591
276	607	1586
277	609	1583
278	610	1577
279	612	1575
280	614	1573
281	617	1571
282	619	1568
283	620	1565
284	621	1560
285	623	1555
286	624	1551
287	625	1545
288	627	1542
289	628	1539
290	630	1536
291	632	1532
292	633	1528
293	634	1524
294	635	1519
295	636	1514
296	638	1510
297	639	1505
298	640	1501
299	642	1498
300	644	1495
301	646	1493
302	647	1490
303	649	1487
304	651	1483
305	652	1480
306	654	1476
307	656	1474
308	657	1471
309	659	1468
310	661	1465
311	663	1462
312	665	1460
313	666	1455
314	668	1452
315	669	1448
316	669	1443
317	670	1438
318	672	1435
319	674	1433
320	676	1430
321	677	1427
322	679	1424
323	680	1420
324	682	1416
325	683	1413
326	684	1409
327	685	1405
328	687	1403
329	689	1399
330	691	1397
331	693	1394
332	694	1391
333	695	1387
334	697	1384
335	699	1381
336	701	1379
337	702	1376
338	704	1374
339	706	1371
340	708	1369
341	709	1365
342	711	1362
343	713	1359
344	714	1357
345	716	1354
346	718	1352
347	720	1350
348	722	1348
349	723	1344
350	725	1341
351	726	1337
352	728	1334
353	729	1332
354	731	1329
355	733	1327
356	735	1325
357	737	1322
358	738	1319
359	739	1315
360	741	1311
361	742	1308
362	744	1307
363	746	1304
364	749	1303
365	751	1301
366	752	1298
367	754	1295
368	756	1293
369	758	1290
370	759	1287
371	760	1283
372	761	1280
373	763	1278
374	766	1276
375	767	1274
376	769	1271
377	771	1269
378	773	1266
379	774	1264
380	776	1262
381	779	1260
382	781	1259
383	783	1256
384	785	1254
385	787	1252
386	789	1250
387	791	1248
388	793	1246
389	795	1244
390	797	1241
391	798	1238
392	800	1236
393	802	1233
394	804	1231
395	806	1230
396	808	1227
397	810	1225
398	811	1222
399	812	1219
400	814	1216
401	816	1214
402	818	1212
403	820	1210
404	822	1208
405	824	1205
406	826	1203
407	827	1200
408	828	1197
409	830	1194
410	832	1192
411	834	1190
412	836	1189
413	838	1187
414	840	1184
415	841	1181
416	843	1178
417	844	1176
418	846	1174
419	848	1172
420	851	1170
421	853	1168
422	855	1166
423	856	1163
424	857	1160
425	860	1158
426	861	1156
427	863	1154
428	865	1151
429	867	1149
430	869	1147
431	871	1145
432	872	1142
433	873	1139
434	875	1136
435	876	1134
436	878	1132
437	880	1129
438	882	1127
439	884	1125
440	885	1122
441	887	1119
442	889	1118
443	891	1116
444	893	1113
445	894	1111
446	896	1109
447	898	1107
448	900	1104
449	901	1101
450	902	1098
451	904	1096
452	905	1093
453	906	1090
454	907	1087
455	909	1084
456	911	1083
457	913	1080
458	914	1078
459	915	1074
460	917	1073
461	919	1070
462	920	1068
463	922	1065
464	924	1063
465	926	1061
466	927	1058
467	929	1056
468	931	1054
469	932	1051
470	935	1050
471	937	1048
472	940	1047
473	942	1045
474	943	1043
475	945	1041
476	947	1038
477	948	1036
478	950	1034
479	952	1032
480	954	1030
481	956	1028
482	958	1025
483	959	1023
484	960	1020
485	961	1017
486	963	1014
487	965	1013
488	968	1011
489	970	1010
490	972	1008
491	974	1005
492	975	1003
493	976	1000
494	978	998
495	980	996
496	982	994
497	984	992
498	986	990
499	988	988
500	990	986
501	992	984
502	994	983
503	997	981
504	999	979
505	1001	977
506	1002	975
507	1003	972
508	1005	969
509	1006	966
510	1007	964
511	1008	961
512	1010	959
513	1012	957
514	1013	954
515	1015	952
516	1016	950
517	1018	947
518	1020	945
519	1022	944
520	1025	942
521	1027	940
522	1029	938
523	1030	936
524	1032	934
525	1033	931
526	1034	928
527	1036	926
528	1038	924
529	1040	922
530	1041	920
531	1043	917
532	1044	915
533	1046	912
534	1047	910
535	1049	908
536	1050	906
537	1052	903
538	1053	901
539	1055	898
540	1057	896
541	1059	894
542	1060	892
543	1062	890
544	1064	888
545	1065	886
546	1067	883
547	1069	881
548	1071	880
549	1073	877
550	1075	876
551	1076	873
552	1077	871
553	1080	869
554	1082	867
555	1084	866
556	1086	864
557	1088	862
558	1090	860
559	1092	858
560	1093	855
561	1094	853
562	1096	851
563	1098	849
564	1100	846
565	1101	844
566	1103	842
567	1105	840
568	1107	839
569	1109	837
570	1111	834
571	1112	832
572	1114	830
573	1115	827
574	1116	825
575	1117	822
576	1118	820
577	1120	817
578	1121	815
579	1123	813
580	1125	811
581	1127	809
582	1128	807
583	1130	805
584	1132	803
585	1134	801
586	1135	799
587	1137	797
588	1139	795
589	1142	794
590	1144	791
591	1146	789
592	1147	787
593	1149	785
594	1150	783
595	1152	781
596	1154	779
597	1155	776
598	1157	774
599	1159	772
600	1161	770
601	1162	768
602	1164	766
603	1165	764
604	1167	762
605	1169	760
606	1171	758
607	1173	756
608	1175	754
609	1177	753
610	1179	750
611	1180	748
612	1181	745
613	1183	743
614	1185	741
615	1187	740
616	1189	738
617	1191	736
618	1193	734
619	1194	732
620	1195	729
621	1197	727
622	1199	725
623	1201	723
624	1203	722
625	1205	720
626	1206	717
627	1208	715
628	1209	713
629	1212	711
630	1213	709
631	1215	707
632	1217	705
633	1219	703
634	1220	701
635	1222	699
636	1224	697
637	1226	695
638	1226	693
639	1229	691
640	1231	689
641	1233	687
642	1235	685
643	1237	684
644	1239	682
645	1241	680
646	1242	677
647	1243	675
648	1245	673
649	1247	671
650	1248	669
651	1250	667
652	1251	665
653	1253	662
654	1254	660
655	1256	658
656	1258	656
657	1259	654
658	1260	652
659	1263	650
660	1265	649
661	1267	647
662	1268	644
663	1269	642
664	1272	640
665	1273	638
666	1275	636
667	1276	634
668	1278	632
669	1280	630
670	1282	628
671	1282	626
672	1283	623
673	1285	621
674	1286	619
675	1288	617
676	1290	615
677	1292	613
678	1294	611
679	1295	609
680	1297	607
681	1298	605
682	1300	603
683	1302	601
684	1303	599
685	1304	597
686	1306	595
687	1307	593
688	1308	590
689	1310	588
690	1311	586
691	1312	584
692	1313	581
693	1315	579
694	1317	578
695	1319	576
696	1320	574
697	1322	572
698	1324	570
699	1326	568
700	1328	566
701	1330	564
702	1332	562
703	1333	560
704	1335	558
705	1336	556
706	1338	554
707	1339	552
708	1341	550
709	1343	548
710	1345	546
711	1347	544
712	1349	543
713	1351	541
714	1353	539
715	1355	537
716	1357	535
717	1358	533
718	1361	531
719	1363	530
720	1364	527
721	1365	525
722	1366	523
723	1368	521
724	1370	519
725	1371	517
726	1373	515
727	1375	513
728	1377	512
729	1378	509
730	1380	507
731	1382	506
732	1383	503
733	1384	501
734	1385	499
735	1387	497
736	1389	495
737	1391	494
738	1393	492
739	1396	490
740	1398	488
741	1400	486
742	1401	484
743	1403	482
744	1404	480
745	1406	478
746	1408	477
747	1410	475
748	1411	473
749	1412	470
750	1414	469
751	1415	466
752	1417	464
753	1418	462
754	1419	460
755	1421	458
756	1423	457
757	1425	455
758	1427	453
759	1428	451
760	1430	449
761	1431	447
762	1433	445
763	1434	443
764	1436	441
765	1438	439
766	1439	437
767	1441	435
768	1443	433
769	1445	431
770	1446	429
771	1448	427
772	1450	425
773	1452	424
774	1453	422
775	1455	420
776	1457	418
777	1459	416
778	1461	414
779	1463	412
780	1464	410
781	1466	408
782	1468	407
783	1470	405
784	1472	403
785	1473	401
786	1474	399
787	1476	397
788	1478	395
789	1481	393
790	1483	391
791	1485	390
792	1487	388
793	1488	386
794	1490	384
795	1492	382
796	1494	380
797	1496	378
798	1498	376
799	1500	375
800	1502	373
801	1503	371
802	1504	369
803	1506	367
804	1508	365
805	1510	363
806	1512	361
807	1514	359
808	1516	358
809	1517	356
810	1519	354
811	1521	352
812	1523	350
813	1525	348
814	1527	346
815	1529	344
816	1531	342
817	1531	340
818	1532	338
819	1534	336
820	1535	334
821	1537	333
822	1540	331
823	1542	329
824	1544	327
825	1546	325
826	1547	323
827	1548	321
828	1550	319
829	1552	317
830	1554	316
831	1555	314
832	1557	312
833	1559	310
834	1561	308
835	1562	306
836	1563	304
837	1565	302
838	1567	300
839	1569	298
840	1570	296
841	1571	294
842	1572	292
843	1574	291
844	1576	289
845	1578	287
846	1580	285
847	1583	283
848	1585	281
849	1587	280
850	1588	278
851	1590	276
852	1591	274
853	1593	272
854	1594	270
855	1596	268
856	1598	266
857	1600	264
858	1601	262
859	1603	261
860	1605	259
861	1605	257
862	1607	255
863	1609	253
864	1611	251
865	1612	249
866	1614	247
867	1616	245
868	1618	244
869	1620	242
870	1621	240
871	1622	238
872	1623	236
873	1625	234
874	1627	232
875	1629	230
876	1631	228
877	1633	226
878	1634	225
879	1636	223
880	1637	221
881	1639	219
882	1641	217
883	1643	215
884	1644	213
885	1646	211
886	1648	210
887	1650	208
888	1652	206
889	1653	204
890	1655	202
891	1657	200
892	1659	198
893	1660	196
894	1662	195
895	1664	193
896	1665	191
897	1667	189
898	1669	187
899	1671	185
900	1673	183
901	1675	182
902	1677	180
903	1678	178
904	1679	176
905	1681	174
906	1683	172
907	1684	170
908	1686	168
909	1688	166
910	1690	165
911	1691	163
912	1693	161
913	1694	159
914	1696	157
915	1698	155
916	1700	153
917	1701	152
918	1703	150
919	1705	148
920	1707	146
921	1708	144
922	1710	142
923	1712	140
924	1713	138
925	1715	137
926	1717	135
927	1719	133
928	1720	131
929	1721	129
930	1723	127
931	1724	125
932	1726	124
933	1728	122
934	1730	120
935	1731	118
936	1733	116
937	1735	114
938	1737	112
939	1738	110
940	1739	109
941	1741	107
942	1743	105
943	1745	103
944	1748	101
945	1750	99
946	1751	98
947	1753	96
948	1754	94
949	1756	92
950	1758	90
951	1760	88
952	1762	86
953	1763	85
954	1765	83
955	1767	81
956	1768	79
957	1769	77
958	1771	75
959	1772	73
960	1774	72
961	1776	70
962	1779	68
963	1780	66
964	1782	64
965	1783	62
966	1785	60
967	1787	59
968	1788	57
969	1790	55
970	1792	53
971	1794	51
972	1796	49
973	1797	47
974	1798	46
975	1799	44
976	1801	42
977	1803	40
978	1805	38
979	1807	36
980	1809	35
981	1811	33
982	1812	31
983	1813	29
984	1815	27
985	1817	25
986	1818	23
987	1820	22
988	1822	20
989	1824	18
990	1825	16
991	1827	14
992	1828	12
993	1830	11
994	1832	9
995	1833	7
996	1835	5
997	1837	3
998	1839	1
999	1841	0
