iter	Passed	Remaining
0	170	170295
1	171	85810
2	173	57567
3	174	43388
4	175	34856
5	176	29171
6	176	25106
7	177	22055
8	178	19655
9	179	17736
10	179	16167
11	180	14859
12	181	13751
13	181	12815
14	183	12047
15	184	11327
16	184	10694
17	185	10126
18	186	9617
19	186	9159
20	187	8747
21	188	8370
22	188	8025
23	189	7707
24	190	7415
25	190	7144
26	191	6893
27	191	6659
28	192	6442
29	192	6239
30	193	6049
31	194	5870
32	194	5704
33	195	5546
34	196	5404
35	196	5264
36	197	5136
37	198	5017
38	198	4900
39	199	4787
40	200	4679
41	200	4576
42	201	4478
43	201	4385
44	202	4295
45	202	4210
46	203	4127
47	204	4049
48	204	3973
49	205	3900
50	205	3831
51	206	3764
52	207	3700
53	207	3637
54	208	3577
55	208	3520
56	209	3465
57	210	3413
58	210	3361
59	211	3311
60	211	3262
61	212	3219
62	213	3176
63	214	3132
64	214	3089
65	215	3048
66	215	3007
67	216	2968
68	217	2930
69	217	2892
70	218	2856
71	218	2821
72	219	2786
73	220	2753
74	220	2720
75	221	2688
76	221	2656
77	222	2626
78	222	2596
79	223	2567
80	223	2540
81	224	2515
82	225	2486
83	225	2460
84	226	2435
85	226	2411
86	227	2391
87	228	2369
88	229	2346
89	229	2324
90	230	2302
91	231	2280
92	231	2259
93	232	2238
94	232	2218
95	233	2198
96	234	2178
97	234	2159
98	235	2140
99	235	2121
100	236	2103
101	236	2085
102	237	2068
103	238	2050
104	238	2034
105	239	2018
106	239	2002
107	240	1985
108	241	1970
109	241	1955
110	242	1941
111	243	1927
112	243	1913
113	244	1900
114	245	1887
115	245	1874
116	246	1859
117	246	1846
118	247	1832
119	248	1819
120	248	1805
121	249	1792
122	249	1779
123	250	1767
124	250	1755
125	251	1743
126	251	1731
127	252	1720
128	253	1708
129	253	1697
130	254	1685
131	254	1674
132	255	1663
133	255	1652
134	256	1642
135	257	1633
136	257	1623
137	258	1613
138	258	1603
139	259	1594
140	260	1585
141	260	1574
142	261	1564
143	261	1555
144	262	1546
145	262	1536
146	263	1527
147	263	1518
148	264	1509
149	264	1500
150	265	1492
151	265	1483
152	266	1474
153	267	1467
154	267	1459
155	268	1452
156	269	1444
157	269	1436
158	270	1429
159	270	1421
160	271	1413
161	272	1407
162	272	1400
163	273	1393
164	273	1386
165	274	1379
166	275	1372
167	275	1365
168	276	1359
169	277	1352
170	277	1345
171	278	1339
172	278	1332
173	279	1326
174	279	1319
175	280	1313
176	281	1307
177	281	1300
178	282	1294
179	282	1288
180	283	1282
